Time | Swap | PID | Size | Dur. | Memory Map
 16  | in   | P25 | 04   | 4    | P24 P24 P24 P24 P24 . P22 P22 P22 P22 P22 P25 P25 P25 P25 . P23 P23 P23 P23 . . . . . . . . . . . . . . . . . . . . 
 17  | out  | P22 |      |      | P24 P24 P24 P24 P24 . . . . . . P25 P25 P25 P25 . P23 P23 P23 P23 . . . . . . . . . . . . . . . . . . . . 
 17  | in   | P26 | 02   | 5    | P24 P24 P24 P24 P24 P26 P26 . . . . P25 P25 P25 P25 . P23 P23 P23 P23 . . . . . . . . . . . . . . . . . . . . 
 18  | out  | P23 |      |      | P24 P24 P24 P24 P24 P26 P26 . . . . P25 P25 P25 P25 . . . . . . . . . . . . . . . . . . . . . . . . . 
 18  | in   | P27 | 03   | 5    | P24 P24 P24 P24 P24 P26 P26 P27 P27 P27 . P25 P25 P25 P25 . . . . . . . . . . . . . . . . . . . . . . . . . 
 19  | out  | P24 |      |      | . . . . . P26 P26 P27 P27 P27 . P25 P25 P25 P25 . . . . . . . . . . . . . . . . . . . . . . . . . 
 19  | in   | P28 | 03   | 2    | P28 P28 P28 . . P26 P26 P27 P27 P27 . P25 P25 P25 P25 . . . . . . . . . . . . . . . . . . . . . . . . . 
 20  | out  | P25 |      |      | P28 P28 P28 . . P26 P26 P27 P27 P27 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 20  | in   | P29 | 02   | 1    | P28 P28 P28 P29 P29 P26 P26 P27 P27 P27 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 21  | out  | P28 |      |      | . . . P29 P29 P26 P26 P27 P27 P27 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 21  | out  | P29 |      |      | . . . . . P26 P26 P27 P27 P27 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 21  | in   | P30 | 05   | 1    | P30 P30 P30 P30 P30 P26 P26 P27 P27 P27 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 22  | out  | P30 |      |      | . . . . . P26 P26 P27 P27 P27 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 22  | out  | P26 |      |      | . . . . . . . P27 P27 P27 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 22  | in   | P31 | 02   | 3    | P31 P31 . . . . . P27 P27 P27 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
